"Country or Area","Year(s)","EDUCATION LEVEL","WEALTH QUINTILE","Value","Value Footnotes"
"Albania","2008","","Q1 (Poorest)","2.1",""
"Albania","2008","","Q2","1.8",""
"Albania","2008","","Q3","2.0",""
"Albania","2008","","Q4","1.6",""
"Albania","2008","","Q5 (Richest)","1.3",""
"Albania","2008","None","","3.4",""
"Albania","2008","Primary","","2.1",""
"Albania","2008","Secondary or higher","","1.3",""
"Armenia","2010","","Q1 (Poorest)","1.8",""
"Armenia","2010","","Q2","1.8",""
"Armenia","2010","","Q3","1.6",""
"Armenia","2010","","Q4","1.8",""
"Armenia","2010","","Q5 (Richest)","1.4",""
"Armenia","2005","","Q1 (Poorest)","1.8",""
"Armenia","2005","","Q2","1.8",""
"Armenia","2005","","Q3","1.7",""
"Armenia","2005","","Q4","1.6",""
"Armenia","2005","","Q5 (Richest)","1.5",""
"Armenia","2005","Primary","","2.7",""
"Armenia","2005","Secondary or higher","","1.6",""
"Armenia","2000","","Q1 (Poorest)","2.6",""
"Armenia","2000","","Q2","2.1",""
"Armenia","2000","","Q3","1.6",""
"Armenia","2000","","Q4","1.7",""
"Armenia","2000","","Q5 (Richest)","1.6",""
"Armenia","2000","Primary","","0.5",""
"Armenia","2000","Secondary or higher","","1.9",""
"Azerbaijan","2006","","Q1 (Poorest)","2.4",""
"Azerbaijan","2006","","Q2","2.3",""
"Azerbaijan","2006","","Q3","2.0",""
"Azerbaijan","2006","","Q4","1.7",""
"Azerbaijan","2006","","Q5 (Richest)","1.5",""
"Azerbaijan","2006","None","","2.4",""
"Azerbaijan","2006","Primary","","2.3",""
"Azerbaijan","2006","Secondary or higher","","1.9",""
"Benin","2006","","Q1 (Poorest)","7.3",""
"Benin","2006","","Q2","6.6",""
"Benin","2006","","Q3","6.2",""
"Benin","2006","","Q4","5.3",""
"Benin","2006","","Q5 (Richest)","4.2",""
"Benin","2006","None","","6.5",""
"Benin","2006","Primary","","5.0",""
"Benin","2006","Secondary or higher","","3.6",""
"Benin","2001","","Q1 (Poorest)","7.3",""
"Benin","2001","","Q2","6.8",""
"Benin","2001","","Q3","6.8",""
"Benin","2001","","Q4","5.1",""
"Benin","2001","","Q5 (Richest)","3.6",""
"Benin","2001","None","","6.4",""
"Benin","2001","Primary","","5.0",""
"Benin","2001","Secondary or higher","","3.6",""
"Bolivia (Plurinational State of)","2008","","Q1 (Poorest)","6.1",""
"Bolivia (Plurinational State of)","2008","","Q2","4.6",""
"Bolivia (Plurinational State of)","2008","","Q3","3.7",""
"Bolivia (Plurinational State of)","2008","","Q4","2.7",""
"Bolivia (Plurinational State of)","2008","","Q5 (Richest)","2.0",""
"Bolivia (Plurinational State of)","2008","None","","5.7",""
"Bolivia (Plurinational State of)","2008","Primary","","4.8",""
"Bolivia (Plurinational State of)","2008","Secondary or higher","","2.6",""
"Bolivia (Plurinational State of)","2003","","Q1 (Poorest)","7.1",""
"Bolivia (Plurinational State of)","2003","","Q2","5.5",""
"Bolivia (Plurinational State of)","2003","","Q3","4.3",""
"Bolivia (Plurinational State of)","2003","","Q4","3.1",""
"Bolivia (Plurinational State of)","2003","","Q5 (Richest)","2.0",""
"Bolivia (Plurinational State of)","2003","None","","7.0",""
"Bolivia (Plurinational State of)","2003","Primary","","5.2",""
"Bolivia (Plurinational State of)","2003","Secondary or higher","","2.6",""
"Burkina Faso","2003","","Q1 (Poorest)","7.1",""
"Burkina Faso","2003","","Q2","7.1",""
"Burkina Faso","2003","","Q3","6.8",""
"Burkina Faso","2003","","Q4","6.7",""
"Burkina Faso","2003","","Q5 (Richest)","3.9",""
"Burkina Faso","2003","None","","6.7",""
"Burkina Faso","2003","Primary","","4.8",""
"Burkina Faso","2003","Secondary or higher","","2.8",""
"Cambodia","2010","","Q1 (Poorest)","4.4",""
"Cambodia","2010","","Q2","3.5",""
"Cambodia","2010","","Q3","3.0",""
"Cambodia","2010","","Q4","2.7",""
"Cambodia","2010","","Q5 (Richest)","2.1",""
"Cambodia","2010","None","","3.7",""
"Cambodia","2010","Primary","","3.4",""
"Cambodia","2010","Secondary or higher","","2.5",""
"Cambodia","2005","","Q1 (Poorest)","4.8",""
"Cambodia","2005","","Q2","4.1",""
"Cambodia","2005","","Q3","3.2",""
"Cambodia","2005","","Q4","2.9",""
"Cambodia","2005","","Q5 (Richest)","2.3",""
"Cambodia","2005","None","","4.2",""
"Cambodia","2005","Primary","","3.6",""
"Cambodia","2005","Secondary or higher","","2.5",""
"Cambodia","2000","","Q1 (Poorest)","5.0",""
"Cambodia","2000","","Q2","4.7",""
"Cambodia","2000","","Q3","4.2",""
"Cambodia","2000","","Q4","4.0",""
"Cambodia","2000","","Q5 (Richest)","2.3",""
"Cambodia","2000","None","","4.5",""
"Cambodia","2000","Primary","","4.0",""
"Cambodia","2000","Secondary or higher","","2.8",""
"Cameroon","2004","","Q1 (Poorest)","6.8",""
"Cameroon","2004","","Q2","6.2",""
"Cameroon","2004","","Q3","5.6",""
"Cameroon","2004","","Q4","4.5",""
"Cameroon","2004","","Q5 (Richest)","3.3",""
"Cameroon","2004","None","","6.7",""
"Cameroon","2004","Primary","","5.7",""
"Cameroon","2004","Secondary or higher","","3.7",""
"Chad","2004","","Q1 (Poorest)","5.8",""
"Chad","2004","","Q2","6.7",""
"Chad","2004","","Q3","7.2",""
"Chad","2004","","Q4","7.3",""
"Chad","2004","","Q5 (Richest)","6.2",""
"Chad","2004","None","","6.6",""
"Chad","2004","Primary","","7.3",""
"Chad","2004","Secondary or higher","","4.8",""
"Colombia","2010","","Q1 (Poorest)","3.3",""
"Colombia","2010","","Q2","2.5",""
"Colombia","2010","","Q3","2.2",""
"Colombia","2010","","Q4","1.8",""
"Colombia","2010","","Q5 (Richest)","1.4",""
"Colombia","2010","None","","4.2",""
"Colombia","2010","Primary","","3.3",""
"Colombia","2010","Secondary or higher","","2.0",""
"Colombia","2005","","Q1 (Poorest)","4.1",""
"Colombia","2005","","Q2","3.0",""
"Colombia","2005","","Q3","2.4",""
"Colombia","2005","","Q4","1.8",""
"Colombia","2005","","Q5 (Richest)","1.4",""
"Colombia","2005","None","","4.4",""
"Colombia","2005","Primary","","3.5",""
"Colombia","2005","Secondary or higher","","2.1",""
"Colombia","2000","","Q1 (Poorest)","4.3",""
"Colombia","2000","","Q2","3.2",""
"Colombia","2000","","Q3","2.5",""
"Colombia","2000","","Q4","1.9",""
"Colombia","2000","","Q5 (Richest)","1.8",""
"Colombia","2000","None","","4.1",""
"Colombia","2000","Primary","","3.6",""
"Colombia","2000","Secondary or higher","","2.2",""
"Congo","2005","","Q1 (Poorest)","6.6",""
"Congo","2005","","Q2","5.6",""
"Congo","2005","","Q3","5.0",""
"Congo","2005","","Q4","3.8",""
"Congo","2005","","Q5 (Richest)","3.0",""
"Congo","2005","None","","6.2",""
"Congo","2005","Primary","","6.3",""
"Congo","2005","Secondary or higher","","4.0",""
"Democratic Republic of the Congo","2007","","Q1 (Poorest)","7.2",""
"Democratic Republic of the Congo","2007","","Q2","7.0",""
"Democratic Republic of the Congo","2007","","Q3","6.5",""
"Democratic Republic of the Congo","2007","","Q4","7.0",""
"Democratic Republic of the Congo","2007","","Q5 (Richest)","4.4",""
"Democratic Republic of the Congo","2007","None","","7.0",""
"Democratic Republic of the Congo","2007","Primary","","7.0",""
"Democratic Republic of the Congo","2007","Secondary or higher","","5.3",""
"Dominican Republic","2007","","Q1 (Poorest)","3.9",""
"Dominican Republic","2007","","Q2","3.0",""
"Dominican Republic","2007","","Q3","2.5",""
"Dominican Republic","2007","","Q4","2.1",""
"Dominican Republic","2007","","Q5 (Richest)","1.7",""
"Dominican Republic","2007","None","","4.1",""
"Dominican Republic","2007","Primary","","3.3",""
"Dominican Republic","2007","Secondary or higher","","2.3",""
"Dominican Republic","2002","","Q1 (Poorest)","4.4",""
"Dominican Republic","2002","","Q2","3.5",""
"Dominican Republic","2002","","Q3","2.9",""
"Dominican Republic","2002","","Q4","2.5",""
"Dominican Republic","2002","","Q5 (Richest)","2.1",""
"Dominican Republic","2002","None","","4.2",""
"Dominican Republic","2002","Primary","","3.7",""
"Dominican Republic","2002","Secondary or higher","","2.5",""
"Ethiopia","2011","","Q1 (Poorest)","6.0",""
"Ethiopia","2011","","Q2","5.7",""
"Ethiopia","2011","","Q3","5.3",""
"Ethiopia","2011","","Q4","5.0",""
"Ethiopia","2011","","Q5 (Richest)","2.8",""
"Ethiopia","2011","None","","5.8",""
"Ethiopia","2011","Primary","","4.6",""
"Ethiopia","2011","Secondary or higher","","1.6",""
"Ethiopia","2005","","Q1 (Poorest)","6.6",""
"Ethiopia","2005","","Q2","6.0",""
"Ethiopia","2005","","Q3","6.2",""
"Ethiopia","2005","","Q4","6.1",""
"Ethiopia","2005","","Q5 (Richest)","3.5",""
"Ethiopia","2005","None","","6.4",""
"Ethiopia","2005","Primary","","5.3",""
"Ethiopia","2005","Secondary or higher","","2.0",""
"Ethiopia","2000","","Q1 (Poorest)","6.8",""
"Ethiopia","2000","","Q2","6.5",""
"Ethiopia","2000","","Q3","6.3",""
"Ethiopia","2000","","Q4","6.2",""
"Ethiopia","2000","","Q5 (Richest)","3.8",""
"Ethiopia","2000","None","","6.2",""
"Ethiopia","2000","Primary","","5.1",""
"Ethiopia","2000","Secondary or higher","","3.1",""
"Gabon","2000","","Q1 (Poorest)","6.1",""
"Gabon","2000","","Q2","4.9",""
"Gabon","2000","","Q3","4.2",""
"Gabon","2000","","Q4","3.7",""
"Gabon","2000","","Q5 (Richest)","3.2",""
"Gabon","2000","None","","5.2",""
"Gabon","2000","Primary","","5.4",""
"Gabon","2000","Secondary or higher","","3.5",""
"Ghana","2008","","Q1 (Poorest)","6.6",""
"Ghana","2008","","Q2","5.1",""
"Ghana","2008","","Q3","3.9",""
"Ghana","2008","","Q4","3.4",""
"Ghana","2008","","Q5 (Richest)","2.4",""
"Ghana","2008","None","","6.1",""
"Ghana","2008","Primary","","4.9",""
"Ghana","2008","Secondary or higher","","3.1",""
"Ghana","2003","","Q1 (Poorest)","6.8",""
"Ghana","2003","","Q2","6.1",""
"Ghana","2003","","Q3","4.9",""
"Ghana","2003","","Q4","3.5",""
"Ghana","2003","","Q5 (Richest)","2.7",""
"Ghana","2003","None","","6.0",""
"Ghana","2003","Primary","","5.5",""
"Ghana","2003","Secondary or higher","","3.3",""
"Guinea","2005","","Q1 (Poorest)","6.4",""
"Guinea","2005","","Q2","6.3",""
"Guinea","2005","","Q3","6.0",""
"Guinea","2005","","Q4","5.4",""
"Guinea","2005","","Q5 (Richest)","4.1",""
"Guinea","2005","None","","6.0",""
"Guinea","2005","Primary","","5.0",""
"Guinea","2005","Secondary or higher","","3.2",""
"Guyana","2009","","Q1 (Poorest)","4.8",""
"Guyana","2009","","Q2","2.8",""
"Guyana","2009","","Q3","2.7",""
"Guyana","2009","","Q4","2.1",""
"Guyana","2009","","Q5 (Richest)","1.9",""
"Guyana","2009","None","","5.9",""
"Guyana","2009","Primary","","3.8",""
"Guyana","2009","Secondary or higher","","2.6",""
"Haiti","2005","","Q1 (Poorest)","6.5",""
"Haiti","2005","","Q2","5.1",""
"Haiti","2005","","Q3","4.4",""
"Haiti","2005","","Q4","3.2",""
"Haiti","2005","","Q5 (Richest)","2.1",""
"Haiti","2005","None","","5.8",""
"Haiti","2005","Primary","","4.4",""
"Haiti","2005","Secondary or higher","","2.4",""
"Haiti","2000","","Q1 (Poorest)","6.8",""
"Haiti","2000","","Q2","6.1",""
"Haiti","2000","","Q3","5.0",""
"Haiti","2000","","Q4","4.2",""
"Haiti","2000","","Q5 (Richest)","2.6",""
"Haiti","2000","None","","6.1",""
"Haiti","2000","Primary","","5.2",""
"Haiti","2000","Secondary or higher","","2.5",""
"Honduras","2005","","Q1 (Poorest)","5.8",""
"Honduras","2005","","Q2","4.1",""
"Honduras","2005","","Q3","3.4",""
"Honduras","2005","","Q4","2.6",""
"Honduras","2005","","Q5 (Richest)","2.1",""
"Honduras","2005","None","","5.2",""
"Honduras","2005","Primary","","3.9",""
"Honduras","2005","Secondary or higher","","2.2",""
"India","2005","","Q1 (Poorest)","4.1",""
"India","2005","","Q2","3.3",""
"India","2005","","Q3","2.7",""
"India","2005","","Q4","2.3",""
"India","2005","","Q5 (Richest)","1.8",""
"India","2005","None","","3.7",""
"India","2005","Primary","","2.7",""
"India","2005","Secondary or higher","","2.1",""
"Kenya","2008","","Q1 (Poorest)","7.1",""
"Kenya","2008","","Q2","5.7",""
"Kenya","2008","","Q3","4.9",""
"Kenya","2008","","Q4","3.9",""
"Kenya","2008","","Q5 (Richest)","2.9",""
"Kenya","2008","None","","7.0",""
"Kenya","2008","Primary","","5.2",""
"Kenya","2008","Secondary or higher","","3.1",""
"Kenya","2003","","Q1 (Poorest)","7.7",""
"Kenya","2003","","Q2","6.0",""
"Kenya","2003","","Q3","5.2",""
"Kenya","2003","","Q4","4.1",""
"Kenya","2003","","Q5 (Richest)","3.1",""
"Kenya","2003","None","","6.6",""
"Kenya","2003","Primary","","5.5",""
"Kenya","2003","Secondary or higher","","3.3",""
"Lesotho","2009","","Q1 (Poorest)","5.8",""
"Lesotho","2009","","Q2","4.2",""
"Lesotho","2009","","Q3","3.7",""
"Lesotho","2009","","Q4","2.7",""
"Lesotho","2009","","Q5 (Richest)","1.9",""
"Lesotho","2009","None","","5.1",""
"Lesotho","2009","Primary","","4.1",""
"Lesotho","2009","Secondary or higher","","2.5",""
"Lesotho","2004","","Q1 (Poorest)","5.4",""
"Lesotho","2004","","Q2","4.7",""
"Lesotho","2004","","Q3","3.7",""
"Lesotho","2004","","Q4","3.3",""
"Lesotho","2004","","Q5 (Richest)","2.1",""
"Lesotho","2004","None","","4.9",""
"Lesotho","2004","Primary","","4.1",""
"Lesotho","2004","Secondary or higher","","2.8",""
"Liberia","2007","","Q1 (Poorest)","6.8",""
"Liberia","2007","","Q2","6.8",""
"Liberia","2007","","Q3","6.1",""
"Liberia","2007","","Q4","4.8",""
"Liberia","2007","","Q5 (Richest)","2.8",""
"Liberia","2007","None","","6.2",""
"Liberia","2007","Primary","","6.0",""
"Liberia","2007","Secondary or higher","","3.3",""
