"Country or Area","Year(s)","EDUCATION LEVEL","WEALTH QUINTILE","Value","Value Footnotes"
"Madagascar","2008","","Q1 (Poorest)","7.0",""
"Madagascar","2008","","Q2","6.2",""
"Madagascar","2008","","Q3","5.3",""
"Madagascar","2008","","Q4","4.6",""
"Madagascar","2008","","Q5 (Richest)","2.9",""
"Madagascar","2008","None","","6.5",""
"Madagascar","2008","Primary","","5.5",""
"Madagascar","2008","Secondary or higher","","3.3",""
"Madagascar","2003","","Q1 (Poorest)","7.0",""
"Madagascar","2003","","Q2","6.6",""
"Madagascar","2003","","Q3","5.8",""
"Madagascar","2003","","Q4","4.8",""
"Madagascar","2003","","Q5 (Richest)","2.9",""
"Madagascar","2003","None","","6.4",""
"Madagascar","2003","Primary","","5.8",""
"Madagascar","2003","Secondary or higher","","3.5",""
"Malawi","2010","","Q1 (Poorest)","6.9",""
"Malawi","2010","","Q2","6.8",""
"Malawi","2010","","Q3","6.3",""
"Malawi","2010","","Q4","5.4",""
"Malawi","2010","","Q5 (Richest)","3.8",""
"Malawi","2010","None","","7.0",""
"Malawi","2010","Primary","","5.9",""
"Malawi","2010","Secondary or higher","","3.6",""
"Malawi","2004","","Q1 (Poorest)","7.0",""
"Malawi","2004","","Q2","6.7",""
"Malawi","2004","","Q3","6.6",""
"Malawi","2004","","Q4","6.0",""
"Malawi","2004","","Q5 (Richest)","4.1",""
"Malawi","2004","None","","6.9",""
"Malawi","2004","Primary","","6.2",""
"Malawi","2004","Secondary or higher","","3.8",""
"Malawi","2000","","Q1 (Poorest)","7.1",""
"Malawi","2000","","Q2","6.7",""
"Malawi","2000","","Q3","6.2",""
"Malawi","2000","","Q4","6.0",""
"Malawi","2000","","Q5 (Richest)","5.2",""
"Malawi","2000","None","","7.1",""
"Malawi","2000","Primary","","6.2",""
"Malawi","2000","Secondary or higher","","3.2",""
"Mali","2006","","Q1 (Poorest)","7.7",""
"Mali","2006","","Q2","7.2",""
"Mali","2006","","Q3","7.1",""
"Mali","2006","","Q4","6.7",""
"Mali","2006","","Q5 (Richest)","5.0",""
"Mali","2006","None","","7.0",""
"Mali","2006","Primary","","6.4",""
"Mali","2006","Secondary or higher","","3.7",""
"Mali","2001","","Q1 (Poorest)","7.6",""
"Mali","2001","","Q2","7.7",""
"Mali","2001","","Q3","7.3",""
"Mali","2001","","Q4","7.0",""
"Mali","2001","","Q5 (Richest)","5.3",""
"Mali","2001","None","","7.2",""
"Mali","2001","Primary","","6.7",""
"Mali","2001","Secondary or higher","","4.0",""
"Morocco","2003","","Q1 (Poorest)","3.6",""
"Morocco","2003","","Q2","3.2",""
"Morocco","2003","","Q3","2.5",""
"Morocco","2003","","Q4","1.9",""
"Morocco","2003","","Q5 (Richest)","2.0",""
"Morocco","2003","None","","3.1",""
"Morocco","2003","Primary","","2.4",""
"Morocco","2003","Secondary or higher","","1.9",""
"Mozambique","2003","","Q1 (Poorest)","6.4",""
"Mozambique","2003","","Q2","6.2",""
"Mozambique","2003","","Q3","6.5",""
"Mozambique","2003","","Q4","5.3",""
"Mozambique","2003","","Q5 (Richest)","3.9",""
"Mozambique","2003","None","","6.3",""
"Mozambique","2003","Primary","","5.5",""
"Mozambique","2003","Secondary or higher","","2.8",""
"Namibia","2006","","Q1 (Poorest)","4.9",""
"Namibia","2006","","Q2","4.3",""
"Namibia","2006","","Q3","4.0",""
"Namibia","2006","","Q4","2.9",""
"Namibia","2006","","Q5 (Richest)","2.3",""
"Namibia","2006","None","","5.9",""
"Namibia","2006","Primary","","4.4",""
"Namibia","2006","Secondary or higher","","3.0",""
"Namibia","2000","","Q1 (Poorest)","5.7",""
"Namibia","2000","","Q2","5.5",""
"Namibia","2000","","Q3","4.4",""
"Namibia","2000","","Q4","3.7",""
"Namibia","2000","","Q5 (Richest)","2.7",""
"Namibia","2000","None","","6.1",""
"Namibia","2000","Primary","","5.1",""
"Namibia","2000","Secondary or higher","","3.3",""
"Nepal","2011","","Q1 (Poorest)","4.1",""
"Nepal","2011","","Q2","3.1",""
"Nepal","2011","","Q3","2.7",""
"Nepal","2011","","Q4","2.1",""
"Nepal","2011","","Q5 (Richest)","1.5",""
"Nepal","2011","None","","3.7",""
"Nepal","2011","Primary","","2.7",""
"Nepal","2011","Secondary or higher","","1.9",""
"Nepal","2006","","Q1 (Poorest)","5.0",""
"Nepal","2006","","Q2","3.8",""
"Nepal","2006","","Q3","3.4",""
"Nepal","2006","","Q4","2.8",""
"Nepal","2006","","Q5 (Richest)","2.0",""
"Nepal","2006","None","","4.1",""
"Nepal","2006","Primary","","3.0",""
"Nepal","2006","Secondary or higher","","2.2",""
"Nicaragua","2001","","Q1 (Poorest)","6.0",""
"Nicaragua","2001","","Q2","4.1",""
"Nicaragua","2001","","Q3","3.2",""
"Nicaragua","2001","","Q4","2.5",""
"Nicaragua","2001","","Q5 (Richest)","2.1",""
"Nicaragua","2001","None","","5.5",""
"Nicaragua","2001","Primary","","3.7",""
"Nicaragua","2001","Secondary or higher","","2.3",""
"Niger","2006","","Q1 (Poorest)","8.0",""
"Niger","2006","","Q2","7.2",""
"Niger","2006","","Q3","7.1",""
"Niger","2006","","Q4","7.2",""
"Niger","2006","","Q5 (Richest)","6.2",""
"Niger","2006","None","","7.3",""
"Niger","2006","Primary","","6.8",""
"Niger","2006","Secondary or higher","","4.6",""
"Nigeria","2008","","Q1 (Poorest)","7.3",""
"Nigeria","2008","","Q2","7.2",""
"Nigeria","2008","","Q3","6.0",""
"Nigeria","2008","","Q4","5.0",""
"Nigeria","2008","","Q5 (Richest)","4.0",""
"Nigeria","2008","None","","7.4",""
"Nigeria","2008","Primary","","6.5",""
"Nigeria","2008","Secondary or higher","","4.3",""
"Nigeria","2003","","Q1 (Poorest)","6.8",""
"Nigeria","2003","","Q2","6.5",""
"Nigeria","2003","","Q3","5.9",""
"Nigeria","2003","","Q4","5.8",""
"Nigeria","2003","","Q5 (Richest)","4.0",""
"Nigeria","2003","None","","6.9",""
"Nigeria","2003","Primary","","6.3",""
"Nigeria","2003","Secondary or higher","","4.2",""
"Peru","2004","","Q1 (Poorest)","5.1","1"
"Peru","2004","","Q2","3.6","1"
"Peru","2004","","Q3","2.7","1"
"Peru","2004","","Q4","2.1","1"
"Peru","2004","","Q5 (Richest)","1.6","1"
"Peru","2004","None","","4.7","1"
"Peru","2004","Primary","","3.8","1"
"Peru","2004","Secondary or higher","","2.1","1"
"Peru","2000","","Q1 (Poorest)","5.8",""
"Peru","2000","","Q2","4.0",""
"Peru","2000","","Q3","2.7",""
"Peru","2000","","Q4","2.2",""
"Peru","2000","","Q5 (Richest)","1.6",""
"Peru","2000","None","","5.4",""
"Peru","2000","Primary","","4.4",""
"Peru","2000","Secondary or higher","","2.3",""
"Philippines","2008","","Q1 (Poorest)","5.4",""
"Philippines","2008","","Q2","4.2",""
"Philippines","2008","","Q3","3.3",""
"Philippines","2008","","Q4","2.7",""
"Philippines","2008","","Q5 (Richest)","1.9",""
"Philippines","2008","None","","5.2",""
"Philippines","2008","Primary","","4.6",""
"Philippines","2008","Secondary or higher","","3.0",""
"Philippines","2003","","Q1 (Poorest)","5.8",""
"Philippines","2003","","Q2","4.6",""
"Philippines","2003","","Q3","3.5",""
"Philippines","2003","","Q4","2.8",""
"Philippines","2003","","Q5 (Richest)","2.2",""
"Philippines","2003","None","","5.1",""
"Philippines","2003","Primary","","4.9",""
"Philippines","2003","Secondary or higher","","3.2",""
"Republic of Moldova","2005","","Q1 (Poorest)","2.0",""
"Republic of Moldova","2005","","Q2","1.9",""
"Republic of Moldova","2005","","Q3","1.7",""
"Republic of Moldova","2005","","Q4","1.4",""
"Republic of Moldova","2005","","Q5 (Richest)","1.3",""
"Republic of Moldova","2005","None","","3.9",""
"Republic of Moldova","2005","Primary","","2.3",""
"Republic of Moldova","2005","Secondary or higher","","1.6",""
"Rwanda","2010","","Q1 (Poorest)","5.4",""
"Rwanda","2010","","Q2","5.2",""
"Rwanda","2010","","Q3","4.5",""
"Rwanda","2010","","Q4","4.4",""
"Rwanda","2010","","Q5 (Richest)","3.4",""
"Rwanda","2010","None","","5.4",""
"Rwanda","2010","Primary","","4.8",""
"Rwanda","2010","Secondary or higher","","3.0",""
"Rwanda","2005","","Q1 (Poorest)","5.9",""
"Rwanda","2005","","Q2","6.1",""
"Rwanda","2005","","Q3","6.3",""
"Rwanda","2005","","Q4","6.2",""
"Rwanda","2005","","Q5 (Richest)","5.2",""
"Rwanda","2005","None","","6.5",""
"Rwanda","2005","Primary","","6.0",""
"Rwanda","2005","Secondary or higher","","4.6",""
"Rwanda","2000","","Q1 (Poorest)","6.1",""
"Rwanda","2000","","Q2","6.2",""
"Rwanda","2000","","Q3","6.2",""
"Rwanda","2000","","Q4","6.4",""
"Rwanda","2000","","Q5 (Richest)","5.6",""
"Rwanda","2000","None","","6.4",""
"Rwanda","2000","Primary","","6.2",""
"Rwanda","2000","Secondary or higher","","5.0",""
"Sao Tome and Principe","2008","","Q1 (Poorest)","5.9",""
"Sao Tome and Principe","2008","","Q2","5.2",""
"Sao Tome and Principe","2008","","Q3","5.6",""
"Sao Tome and Principe","2008","","Q4","4.3",""
"Sao Tome and Principe","2008","","Q5 (Richest)","3.7",""
"Sao Tome and Principe","2008","None","","5.2",""
"Sao Tome and Principe","2008","Primary","","5.4",""
"Sao Tome and Principe","2008","Secondary or higher","","4.0",""
"Senegal","2010","","Q1 (Poorest)","7.0",""
"Senegal","2010","","Q2","6.2",""
"Senegal","2010","","Q3","5.0",""
"Senegal","2010","","Q4","4.3",""
"Senegal","2010","","Q5 (Richest)","3.3",""
"Senegal","2010","None","","5.8",""
"Senegal","2010","Primary","","4.5",""
"Senegal","2010","Secondary or higher","","2.9",""
"Senegal","2005","","Q1 (Poorest)","7.0",""
"Senegal","2005","","Q2","6.5",""
"Senegal","2005","","Q3","5.7",""
"Senegal","2005","","Q4","4.6",""
"Senegal","2005","","Q5 (Richest)","3.3",""
"Senegal","2005","None","","6.0",""
"Senegal","2005","Primary","","4.6",""
"Senegal","2005","Secondary or higher","","2.9",""
"Sierra Leone","2008","","Q1 (Poorest)","6.2",""
"Sierra Leone","2008","","Q2","5.6",""
"Sierra Leone","2008","","Q3","5.7",""
"Sierra Leone","2008","","Q4","4.8",""
"Sierra Leone","2008","","Q5 (Richest)","3.1",""
"Sierra Leone","2008","None","","5.7",""
"Sierra Leone","2008","Primary","","4.9",""
"Sierra Leone","2008","Secondary or higher","","2.9",""
"Swaziland","2006","","Q1 (Poorest)","5.3",""
"Swaziland","2006","","Q2","5.0",""
"Swaziland","2006","","Q3","4.0",""
"Swaziland","2006","","Q4","3.3",""
"Swaziland","2006","","Q5 (Richest)","2.8",""
"Swaziland","2006","None","","5.0",""
"Swaziland","2006","Primary","","4.6",""
"Swaziland","2006","Secondary or higher","","3.4",""
"Timor-Leste","2009","","Q1 (Poorest)","7.2",""
"Timor-Leste","2009","","Q2","6.2",""
"Timor-Leste","2009","","Q3","6.1",""
"Timor-Leste","2009","","Q4","5.5",""
"Timor-Leste","2009","","Q5 (Richest)","4.4",""
"Timor-Leste","2009","None","","6.2",""
"Timor-Leste","2009","Primary","","6.6",""
"Timor-Leste","2009","Secondary or higher","","5.0",""
"Uganda","2006","","Q1 (Poorest)","8.2",""
"Uganda","2006","","Q2","7.9",""
"Uganda","2006","","Q3","7.2",""
"Uganda","2006","","Q4","6.8",""
"Uganda","2006","","Q5 (Richest)","4.4",""
"Uganda","2006","None","","7.7",""
"Uganda","2006","Primary","","7.2",""
"Uganda","2006","Secondary or higher","","4.6",""
"Uganda","2000","None","","7.8",""
"Uganda","2000","Primary","","7.4",""
"Uganda","2000","Secondary or higher","","4.0",""
"Ukraine","2007","","Q1 (Poorest)","1.7",""
"Ukraine","2007","","Q2","1.4",""
"Ukraine","2007","","Q3","1.2",""
"Ukraine","2007","","Q4","1.0",""
"Ukraine","2007","","Q5 (Richest)","1.0",""
"Ukraine","2007","Secondary or higher","","1.2",""
"United Republic of Tanzania","2010","","Q1 (Poorest)","7.0",""
"United Republic of Tanzania","2010","","Q2","6.8",""
"United Republic of Tanzania","2010","","Q3","6.2",""
"United Republic of Tanzania","2010","","Q4","4.9",""
"United Republic of Tanzania","2010","","Q5 (Richest)","3.2",""
"United Republic of Tanzania","2010","None","","7.0",""
"United Republic of Tanzania","2010","Primary","","5.6",""
"United Republic of Tanzania","2010","Secondary or higher","","3.0",""
"United Republic of Tanzania","2004","","Q1 (Poorest)","7.4",""
"United Republic of Tanzania","2004","","Q2","6.6",""
"United Republic of Tanzania","2004","","Q3","6.4",""
"United Republic of Tanzania","2004","","Q4","5.4",""
"United Republic of Tanzania","2004","","Q5 (Richest)","3.3",""
"United Republic of Tanzania","2004","None","","6.7",""
"United Republic of Tanzania","2004","Primary","","5.6",""
"United Republic of Tanzania","2004","Secondary or higher","","3.2",""
"Zambia","2007","","Q1 (Poorest)","8.3",""
"Zambia","2007","","Q2","7.4",""
"Zambia","2007","","Q3","7.0",""
"Zambia","2007","","Q4","5.2",""
"Zambia","2007","","Q5 (Richest)","3.4",""
"Zambia","2007","None","","7.6",""
"Zambia","2007","Primary","","7.0",""
"Zambia","2007","Secondary or higher","","3.8",""
"Zambia","2001","","Q1 (Poorest)","7.2",""
"Zambia","2001","","Q2","7.0",""
"Zambia","2001","","Q3","6.7",""
"Zambia","2001","","Q4","5.2",""
"Zambia","2001","","Q5 (Richest)","3.8",""
"Zambia","2001","None","","7.2",""
"Zambia","2001","Primary","","6.5",""
"Zambia","2001","Secondary or higher","","4.0",""
"Zimbabwe","2010","","Q1 (Poorest)","5.3",""
"Zimbabwe","2010","","Q2","5.1",""
"Zimbabwe","2010","","Q3","4.4",""
"Zimbabwe","2010","","Q4","3.8",""
"Zimbabwe","2010","","Q5 (Richest)","2.6",""
"Zimbabwe","2010","None","","4.5",""
"Zimbabwe","2010","Primary","","4.9",""
"Zimbabwe","2010","Secondary or higher","","3.8",""
"Zimbabwe","2005","","Q1 (Poorest)","5.6",""
"Zimbabwe","2005","","Q2","4.8",""
"Zimbabwe","2005","","Q3","4.2",""
"Zimbabwe","2005","","Q4","3.2",""
"Zimbabwe","2005","","Q5 (Richest)","2.4",""
"Zimbabwe","2005","None","","5.4",""
"Zimbabwe","2005","Primary","","4.6",""
"Zimbabwe","2005","Secondary or higher","","3.3",""

"footnoteSeqID","Footnote"
"1","Continuous DHS 2004-2008."
